ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,original_recommendation,original_confidence,sentiment_signal,sentiment_score,sentiment_confidence,news_count,sentiment_breakdown,sector,enhancement_status,sector_avg_change,relative_to_sector
GODREJCP,Godrejcp,1293.800048828125,1265.2196788190995,1180.2899169921875,1222.7547979056435,STRONG SELL,95.0,19.21304664407254,40.861746692963656,-2.2090252690060193,-8.773390597623695,-5.491207933314858,"Combined models predict a significant 5.49% price decrease (ARIMA: -2.21%, LSTM: -8.77% - both models agree on direction)",True,STRONG SELL,95.0,BULLISH,0.4331113434314728,0.4331113434314728,2,"{'positive': 1, 'negative': 1, 'neutral': 0}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,-5.524804103101428
UBL,Ubl,1969.0,1993.5505681675627,1991.26171875,1992.4061434587813,BUY,85.0,29.313081760131304,64.07429543949617,1.2468546555389888,1.1306103986795328,1.1887325271092608,"Combined models predict a moderate 1.19% price increase (ARIMA: 1.25%, LSTM: 1.13% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.1551363573226896
UNITDSPR,Unitdspr,1370.9000244140625,1385.230845082801,1414.801025390625,1400.015935236713,BUY,85.0,23.847260571277168,56.49892548256684,1.0453585537620473,3.202348836146988,2.1238536949545175,"Combined models predict a moderate 2.12% price increase (ARIMA: 1.05%, LSTM: 3.20% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.0902575251679463
DABUR,Dabur,522.1500244140625,512.3296489940357,492.0587158203125,502.1941824071741,STRONG SELL,90.0,6.54040684311486,14.40452604938521,-1.880757437682187,-5.762962211390751,-3.8218598245364688,"Combined models predict a significant 3.82% price decrease (ARIMA: -1.88%, LSTM: -5.76% - both models agree on direction)",True,STRONG SELL,95.0,BULLISH,0.4613293898741404,0.4613293898741404,2,"{'positive': 1, 'negative': 0, 'neutral': 1}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,-3.85545599432304
MARICO,Marico,730.3499755859375,728.9726934330483,702.0713500976562,715.5220217653523,SELL,85.0,9.008051677207927,23.919034605429303,-0.18857838008198932,-3.871928039101278,-2.0302532095916335,"Combined models predict a moderate 2.03% price decrease (ARIMA: -0.19%, LSTM: -3.87% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-2.0638493793782047
VBL,Vbl,465.75,464.2759275947269,456.1015625,460.18874504736345,SELL,85.0,11.283937721889991,22.607187973212856,-0.31649434359057244,-2.071591519055287,-1.1940429313229297,"Combined models predict a moderate 1.19% price decrease (ARIMA: -0.32%, LSTM: -2.07% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-1.227639101109501
ITC,Itc,419.45001220703125,415.98887812337995,415.70257568359375,415.8457269034868,HOLD,80.0,4.273690859038781,8.371438180213161,-0.8251600865237222,-0.8934167157892102,-0.859288401156473,"Combined models predict relatively stable price (change: -0.86%) (ARIMA: -0.83%, LSTM: -0.89% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.8928845709430441
NESTLEIND,Nestleind,2427.800048828125,2422.0608409247484,2411.57666015625,2416.8187505404994,HOLD,80.0,26.507359140257222,49.110880143984076,-0.23639541098727912,-0.6682341356614548,-0.4523147733243576,"Combined models predict relatively stable price (change: -0.45%) (ARIMA: -0.24%, LSTM: -0.67% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.4859109431109287
TATACONSUM,Tataconsum,1097.9000244140625,1101.0333625613675,1122.096435546875,1111.5648990541213,BUY,85.0,15.501339059421603,39.41630418462863,0.2853937587784706,2.203881099804681,1.2446374292915756,"Combined models predict a moderate 1.24% price increase (ARIMA: 0.29%, LSTM: 2.20% - both models agree on direction)",True,BUY,85.0,BULLISH,0.4331113434314728,0.4331113434314728,2,"{'positive': 1, 'negative': 1, 'neutral': 0}",UNKNOWN,BULLISH_AGREEMENT,0.033596169786571116,1.2110412595050044
HINDUNILVR,Hindunilvr,2423.39990234375,2407.547958742271,2331.06787109375,2369.3079149180103,SELL,85.0,25.757775414906046,48.97894285383411,-0.6541200066133551,-3.810020424639889,-2.2320702156266314,"Combined models predict a moderate 2.23% price decrease (ARIMA: -0.65%, LSTM: -3.81% - both models agree on direction)",True,SELL,85.0,WEAK_BEARISH,0.2927757203578949,0.2927757203578949,2,"{'positive': 0, 'negative': 1, 'neutral': 1}",UNKNOWN,BEARISH_AGREEMENT,0.033596169786571116,-2.2656663854132026
