ticker,sector,signal_type,current_price,target_price,stop_loss,buy_strength,sell_strength,volume,position_size,risk_per_share,ema_50,ema_trend,rsi,inside_bar_data,timestamp
NCC,Realty,WEAK_SELL,217.32000732421875,217.30999755859375,217.5399932861328,0.0,0.05056218826501307,61,4545,0.2199859619140625,219.14122091913492,BEARISH,29.0179529361276,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 217.5399932861328, 'mother_bar_low': 217.30999755859375, 'inside_bar_high': 217.38999938964844, 'inside_bar_low': 217.32000732421875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
PEL,Finance,WEAK_BUY,1169.9000244140625,1172.5,1165.0999755859375,0.20599300183278346,0.0,315,208,4.800048828125,1168.875651304354,BULLISH,73.05927928430089,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1172.5, 'mother_bar_low': 1165.0999755859375, 'inside_bar_high': 1169.9000244140625, 'inside_bar_low': 1168.5, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
RELIANCE,Industrials,HOLD,1413.300048828125,1413.300048828125,1413.300048828125,0.0,0.0,4343,0,0.0,1419.379433090248,BEARISH,36.51681925727806,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1414.0, 'mother_bar_low': 1411.5999755859375, 'inside_bar_high': 1413.800048828125, 'inside_bar_low': 1413.199951171875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
ONGC,Oils,HOLD,236.5,236.5,236.5,0.0,0.0,10006,0,0.0,238.1012674545148,BEARISH,40.27787785411836,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 236.74000549316406, 'mother_bar_low': 236.22999572753906, 'inside_bar_high': 236.6300048828125, 'inside_bar_low': 236.4499969482422, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
PIDILITIND,Industrials,HOLD,3092.0,3092.0,3092.0,0.0,0.0,63,0,0.0,3083.6399866528345,BULLISH,66.33651399875512,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 3096.0, 'mother_bar_low': 3082.199951171875, 'inside_bar_high': 3093.0, 'inside_bar_low': 3090.699951171875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
PATANJALI,FMCG,HOLD,1795.9000244140625,1795.9000244140625,1795.9000244140625,0.0,0.0,18,0,0.0,1804.021854073913,BEARISH,39.21121574736245,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1796.5999755859375, 'mother_bar_low': 1794.0999755859375, 'inside_bar_high': 1795.9000244140625, 'inside_bar_low': 1794.300048828125, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
SHREECEM,Industrials,HOLD,30100.0,30100.0,30100.0,0.0,0.0,23,0,0.0,30463.97138609446,BEARISH,29.716981132075475,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 30190.0, 'mother_bar_low': 30060.0, 'inside_bar_high': 30115.0, 'inside_bar_low': 30100.0, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
TATAPOWER,Miscellaneous,WEAK_SELL,386.8500061035156,386.75,387.25,0.0,0.0516454353110878,2585,2500,0.399993896484375,387.88384883503755,BEARISH,53.465436284196585,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 387.25, 'mother_bar_low': 386.75, 'inside_bar_high': 387.0, 'inside_bar_low': 386.8500061035156, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
ACC,Industrials,HOLD,1829.9000244140625,1829.9000244140625,1829.9000244140625,0.0,0.0,57,0,0.0,1846.9261368014254,BEARISH,26.337496106818847,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
AMBUJACEM,Industrials,STRONG_SELL,579.0999755859375,576.2999267578125,580.5,0.0,0.025899769367716874,3900,714,1.4000244140625,585.235484251545,BEARISH,30.146933426681386,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 580.5, 'mother_bar_low': 579.25, 'inside_bar_high': 580.2000122070312, 'inside_bar_low': 579.5999755859375, 'breakout_signal': 'BEARISH_BREAKOUT', 'bars_since_inside': 2}",08:31:35
